date,M1,M2,M3
2004-03-31,270582.26537318516,320815.8104491989,422707.5861830098
2004-04-30,271130.59929908474,321935.7220297697,421734.3179406458
2004-05-31,272053.4458345389,323095.63665750745,425837.3939093967
2004-06-30,278047.81944885786,328792.8041862796,428353.73964186583
2004-07-31,285297.5021090883,336435.2102284642,434135.07710154797
2004-08-31,284740.5820006538,336331.2214133298,433761.8595230705
2004-09-30,284381.66985309415,336465.7622004287,433722.2970259608
2004-10-31,284365.33129924606,336957.9480590074,434332.8017214396
2004-11-30,285148.03457786964,337951.13392597635,439602.2524150896
2004-12-31,292291.6707557149,345505.86179323675,445879.62337682437
2005-01-31,293312.05690341734,347156.22404666356,458622.42415853636
2005-02-28,292173.0875499357,346556.7337454518,458100.72995712934
2005-03-31,298416.1389665131,353456.55049366166,464831.14187545265
2005-04-30,297105.0258681179,352484.3748372814,468517.87069215276
2005-05-31,294336.96140735154,349974.24279218505,469311.9386474091
2005-06-30,302555.4522945471,358578.8548620226,475016.34018461936
2005-07-31,310547.08263818396,366714.44513929717,479669.1542511317
2005-08-31,315200.52960203885,371934.9983985857,489188.5256947917
2005-09-30,319769.62437193864,377129.1050736412,493951.3046084272
2005-10-31,317219.6286218205,375296.3313588487,494599.16549287527
2005-11-30,318779.68938363605,377487.5488838836,499765.90163529903
2005-12-31,328899.5698600701,388328.6060044549,508563.0913588328
2006-01-31,328494.45777691586,388758.9511548414,511935.7570463646
2006-02-28,331851.83433137083,392863.3685610721,515750.0371459164
2006-03-31,337277.762854401,398623.3619443084,521558.50911752845
2006-04-30,338752.862736876,400533.3578342898,522904.087368134
2006-05-31,340276.75830780994,402244.6930227289,524767.1325412289
2006-06-30,348308.2936311707,410418.89015519945,533818.3753040677
2006-07-31,357472.5857998587,420174.2649657164,548810.6579786552
2006-08-31,362889.61542329856,426131.4974846974,558718.1915744895
2006-09-30,362104.5536516205,425978.4216581728,564375.5501062255
2006-10-31,361878.1464402131,426422.559090114,572537.5535243517
2006-11-30,367615.7326042386,432534.31622212194,584548.075655103
2006-12-31,385213.4315771745,450659.1374644776,600555.083282441
2007-01-31,386182.1298254631,452811.5934817398,598883.1754381735
2007-02-28,388462.3100454874,455604.96952618373,608429.7419823895
2007-03-31,394267.53618583875,462325.63684775383,624450.4807959665
2007-04-30,399558.9049473513,467713.77985239157,626754.4845508053
2007-05-31,403691.90917112154,472502.1149216506,635951.9526882408
2007-06-30,416494.00102814415,485628.0831883142,642325.1661807195
2007-07-31,434315.50523000304,503370.0271790788,661583.4484000963
2007-08-31,431872.95914303977,502007.6820233483,666229.5899565101
2007-09-30,433201.2208093385,504107.62555743096,673129.4266046749
2007-10-31,437811.2521183933,508758.27153624315,683173.3174666292
2007-11-30,440022.425652354,511404.3314752623,689158.1164048768
2007-12-31,457174.8626619406,529595.90514189,705935.2833530076
2008-01-31,451310.04211565014,524682.5139452987,705909.4981199328
2008-02-29,450735.8683976625,524944.3788859883,708320.1328973842
2008-03-31,460231.26102492,534959.8599077265,717498.4087595758
2008-04-30,457454.8415439984,532801.9601054877,721850.5272420157
2008-05-31,457728.2337698842,533523.5938849882,731142.6632944646
2008-06-30,472733.9171477866,549024.5665257573,751885.7540954065
2008-07-31,470999.1351118975,547681.6528034805,758235.0017631161
2008-08-31,474109.85495512636,551651.7203101371,767587.0775875589
2008-09-30,472608.3132998488,551004.3777050287,768948.7555397807
2008-10-31,470749.41898194805,549691.3043679922,773826.0120223933
2008-11-30,473846.3793968133,552925.9858258816,783033.840557385
2008-12-31,488877.00073322805,568746.1975441688,799905.7054547402
2009-01-31,469514.4179659004,550254.5896908913,788561.2668924651
2009-02-28,473790.9284051284,555140.6551061934,802953.9912118383
2009-03-31,476876.14667213487,559133.6441868852,806455.5401761477
2009-04-30,472346.48119907465,555184.6601942761,808353.6153614826
2009-05-31,478924.52895343327,561892.228599608,812571.647100006
2009-06-30,489323.068293269,572632.9435122868,821768.1184836734
2009-07-31,497344.9951295526,581455.4253723422,824447.8510385486
2009-08-31,498767.3020823299,583645.9390402714,825644.9446893296
2009-09-30,498516.1384217805,584132.4071467095,831220.411300166
2009-10-31,499154.7274228638,585354.6833398455,829852.5187741435
2009-11-30,507721.6457882273,594113.8694444118,838101.462776745
2009-12-31,525379.788210728,612715.4415051696,855954.890264195
2010-01-31,522447.55907720275,610549.5255502104,858143.4277968777
2010-02-28,518483.2929890249,607246.1754499157,855757.4346252452
2010-03-31,518720.67816800345,608010.7184711242,857185.860210539
2010-04-30,517413.19183129247,607105.0057133274,855472.3590888757
2010-05-31,523103.64869971527,613038.1811102312,864139.1654414744
2010-06-30,528646.4705326558,618567.6263742652,870722.2436494092
2010-07-31,531139.9103960278,621575.8792403915,872086.1009991623
2010-08-31,529339.1874187151,620613.4017597223,871463.2077657201
2010-09-30,532206.1409604948,624196.5002807578,872959.132893905
2010-10-31,529463.3417476751,621982.7858023506,872676.4935481627
2010-11-30,536817.0396481042,629903.1098774428,879555.3523207568
